"Week 5 (2018-08-27 - 2018-09-02)"
"Name","Start week","Start day","Start date","Start time","End day","End date","End time","Duration","Staff member(s)","Location(s)","Department","Size"
"Summer bank holiday","5","Mon","2018-08-27","00:00","Tue","2018-08-28","00:00","24:00","","","",""

"Week 9 (2018-09-24 - 2018-09-30)"
"Name","Start week","Start day","Start date","Start time","End day","End date","End time","Duration","Staff member(s)","Location(s)","Department","Size"
"SOFT152 (T) Practical 1/05","9","Mon","2018-09-24","09:00","Mon","2018-09-24","11:00","02:00","Pecyna, Leszek","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SEC104 (T) JT Lecture 1","9","Mon","2018-09-24","14:00","Mon","2018-09-24","16:00","02:00","Sun, Lingfen","DYB Main Hall (212)","Computing, Electronics and Mathematics","212"
"SOFT152 (T) Practical 1/01","9","Mon","2018-09-24","16:00","Mon","2018-09-24","18:00","02:00","Pecyna, Leszek","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Lecture","9","Tue","2018-09-25","10:00","Tue","2018-09-25","11:00","01:00","Stuart, Liz","BGB 006 (161)","Computing, Electronics and Mathematics","140"
"SOFT165 (T) Lecture/01","9","Tue","2018-09-25","11:00","Tue","2018-09-25","13:00","02:00","Wennekers, Thomas","BGB 102 (130)","Computing, Electronics and Mathematics","100"
"SOFT165 (T) Practical 1/03","9","Tue","2018-09-25","14:00","Tue","2018-09-25","16:00","02:00","Wennekers, Thomas","BGB 208 (36)","Computing, Electronics and Mathematics","36"
"SOFT152 (T) Practical 1/03","9","Tue","2018-09-25","16:00","Tue","2018-09-25","18:00","02:00","Haynes, Chris","BGB 209 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Practical 1/02","9","Wed","2018-09-26","11:00","Wed","2018-09-26","13:00","02:00","Wennekers, Thomas","BGB 208 (36)","Computing, Electronics and Mathematics","36"
"SOFT152 (T) Practical 2/01","9","Thu","2018-09-27","09:00","Thu","2018-09-27","11:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/05","9","Thu","2018-09-27","13:00","Thu","2018-09-27","15:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/02","9","Thu","2018-09-27","15:00","Thu","2018-09-27","17:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 1/04","9","Thu","2018-09-27","16:00","Thu","2018-09-27","18:00","02:00","Haynes, Chris","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/04","9","Fri","2018-09-28","09:00","Fri","2018-09-28","11:00","02:00","Pecyna, Leszek","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SEC104 (T) JT Lecture 2a","9","Fri","2018-09-28","13:00","Fri","2018-09-28","15:00","02:00","Furnell, Steven","DYB Main Hall (212)","Computing, Electronics and Mathematics","212"
"SOFT152 (T) Practical 2/03","9","Fri","2018-09-28","15:00","Fri","2018-09-28","17:00","02:00","Pecyna, Leszek","BGB 209 (36)","Computing, Electronics and Mathematics","28"

"Week 10 (2018-10-01 - 2018-10-07)"
"Name","Start week","Start day","Start date","Start time","End day","End date","End time","Duration","Staff member(s)","Location(s)","Department","Size"
"SEC104 (T) JT Practical 1a/02","10","Mon","2018-10-01","09:00","Mon","2018-10-01","11:00","02:00","Giorgi, Ioanna","SMB 306 (40)","Computing, Electronics and Mathematics","40"
"SOFT152 (T) Practical 1/05","10","Mon","2018-10-01","09:00","Mon","2018-10-01","11:00","02:00","Pecyna, Leszek","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Practical 2/03","10","Mon","2018-10-01","11:00","Mon","2018-10-01","13:00","02:00","Wennekers, Thomas","BGB 208 (36)","Computing, Electronics and Mathematics","36"
"SOFT152 (T) Practical 1/01","10","Mon","2018-10-01","16:00","Mon","2018-10-01","18:00","02:00","Pecyna, Leszek","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) JT Lecture","10","Tue","2018-10-02","09:00","Tue","2018-10-02","11:00","02:00","Stuart, Liz","RLB LT1 (279)","Computing, Electronics and Mathematics","250"
"SOFT165 (T) Practical 1/03","10","Tue","2018-10-02","14:00","Tue","2018-10-02","16:00","02:00","Wennekers, Thomas","BGB 208 (36)","Computing, Electronics and Mathematics","36"
"SEC104 (T) JT Practical 1a/03","10","Tue","2018-10-02","16:00","Tue","2018-10-02","18:00","02:00","Giorgi, Ioanna","SMB 306 (40)","Computing, Electronics and Mathematics","40"
"SOFT152 (T) Practical 1/03","10","Tue","2018-10-02","16:00","Tue","2018-10-02","18:00","02:00","Haynes, Chris","BGB 209 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Practical 2/02","10","Wed","2018-10-03","09:00","Wed","2018-10-03","11:00","02:00","Wennekers, Thomas","BGB 208 (36)","Computing, Electronics and Mathematics","36"
"SOFT165 (T) Practical 1/02","10","Wed","2018-10-03","11:00","Wed","2018-10-03","13:00","02:00","Wennekers, Thomas","BGB 208 (36)","Computing, Electronics and Mathematics","36"
"SEC104 (T) JT Workshop","10","Wed","2018-10-03","14:00","Wed","2018-10-03","18:00","04:00","Papadaki, Maria","RLB LT1 (279)","Computing, Electronics and Mathematics","270"
"SEC104 (T) JT Practical 1a/04","10","Thu","2018-10-04","09:00","Thu","2018-10-04","11:00","02:00","Giorgi, Ioanna","SMB 306 (40)","Computing, Electronics and Mathematics","40"
"SOFT152 (T) Practical 2/01","10","Thu","2018-10-04","09:00","Thu","2018-10-04","11:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/05","10","Thu","2018-10-04","13:00","Thu","2018-10-04","15:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/02","10","Thu","2018-10-04","15:00","Thu","2018-10-04","17:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 1/04","10","Thu","2018-10-04","16:00","Thu","2018-10-04","18:00","02:00","Haynes, Chris","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/04","10","Fri","2018-10-05","09:00","Fri","2018-10-05","11:00","02:00","Pecyna, Leszek","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SEC104 (T) JT Lecture 2a","10","Fri","2018-10-05","13:00","Fri","2018-10-05","15:00","02:00","Furnell, Steven","DYB Main Hall (212)","Computing, Electronics and Mathematics","212"
"SOFT152 (T) Practical 2/03","10","Fri","2018-10-05","15:00","Fri","2018-10-05","17:00","02:00","Pecyna, Leszek","BGB 209 (36)","Computing, Electronics and Mathematics","28"

"Week 11 (2018-10-08 - 2018-10-14)"
"Name","Start week","Start day","Start date","Start time","End day","End date","End time","Duration","Staff member(s)","Location(s)","Department","Size"
"SOFT152 (T) Practical 1/05","11","Mon","2018-10-08","09:00","Mon","2018-10-08","11:00","02:00","Pecyna, Leszek","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Practical 2/03","11","Mon","2018-10-08","11:00","Mon","2018-10-08","13:00","02:00","Palomino, Marco","BGB 208 (36)","Computing, Electronics and Mathematics","36"
"SEC104 (T) JT Lecture 1","11","Mon","2018-10-08","14:00","Mon","2018-10-08","16:00","02:00","Sun, Lingfen","DYB Main Hall (212)","Computing, Electronics and Mathematics","212"
"SOFT152 (T) Practical 1/01","11","Mon","2018-10-08","16:00","Mon","2018-10-08","18:00","02:00","Pecyna, Leszek","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) JT Lecture","11","Tue","2018-10-09","09:00","Tue","2018-10-09","11:00","02:00","Stuart, Liz","RLB LT1 (279)","Computing, Electronics and Mathematics","250"
"SOFT165 (T) Practical 1/03","11","Tue","2018-10-09","14:00","Tue","2018-10-09","16:00","02:00","Palomino, Marco","BGB 208 (36)","Computing, Electronics and Mathematics","36"
"SOFT152 (T) Practical 1/03","11","Tue","2018-10-09","16:00","Tue","2018-10-09","18:00","02:00","Haynes, Chris","BGB 209 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Practical 2/02","11","Wed","2018-10-10","09:00","Wed","2018-10-10","11:00","02:00","Palomino, Marco","BGB 208 (36)","Computing, Electronics and Mathematics","36"
"SOFT165 (T) Practical 1/02","11","Wed","2018-10-10","11:00","Wed","2018-10-10","13:00","02:00","Palomino, Marco","BGB 208 (36)","Computing, Electronics and Mathematics","36"
"SOFT152 (T) Practical 2/01","11","Thu","2018-10-11","09:00","Thu","2018-10-11","11:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/05","11","Thu","2018-10-11","13:00","Thu","2018-10-11","15:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/02","11","Thu","2018-10-11","15:00","Thu","2018-10-11","17:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 1/04","11","Thu","2018-10-11","16:00","Thu","2018-10-11","18:00","02:00","Haynes, Chris","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/04","11","Fri","2018-10-12","09:00","Fri","2018-10-12","11:00","02:00","Pecyna, Leszek","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SEC104 (T) JT Lecture 2b","11","Fri","2018-10-12","13:00","Fri","2018-10-12","15:00","02:00","Clarke, Nathan","DYB Main Hall (212)","Computing, Electronics and Mathematics","212"
"SOFT152 (T) Practical 2/03","11","Fri","2018-10-12","15:00","Fri","2018-10-12","17:00","02:00","Pecyna, Leszek","BGB 209 (36)","Computing, Electronics and Mathematics","28"

"Week 12 (2018-10-15 - 2018-10-21)"
"Name","Start week","Start day","Start date","Start time","End day","End date","End time","Duration","Staff member(s)","Location(s)","Department","Size"
"SEC104 (T) JT Practical 1a/02","12","Mon","2018-10-15","09:00","Mon","2018-10-15","11:00","02:00","Giorgi, Ioanna","SMB 306 (40)","Computing, Electronics and Mathematics","40"
"SOFT152 (T) Practical 1/05","12","Mon","2018-10-15","09:00","Mon","2018-10-15","11:00","02:00","Pecyna, Leszek","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Practical 2/03","12","Mon","2018-10-15","11:00","Mon","2018-10-15","13:00","02:00","Wennekers, Thomas","BGB 208 (36)","Computing, Electronics and Mathematics","36"
"SOFT152 (T) Practical 1/01","12","Mon","2018-10-15","16:00","Mon","2018-10-15","18:00","02:00","Pecyna, Leszek","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) JT Lecture","12","Tue","2018-10-16","09:00","Tue","2018-10-16","11:00","02:00","Stuart, Liz","RLB LT1 (279)","Computing, Electronics and Mathematics","250"
"SOFT165 (T) Practical 3/03","12","Tue","2018-10-16","14:00","Tue","2018-10-16","16:00","02:00","Palomino, Marco","BGB 208 (36)","Computing, Electronics and Mathematics","30"
"SEC104 (T) JT Practical 1a/03","12","Tue","2018-10-16","16:00","Tue","2018-10-16","18:00","02:00","Giorgi, Ioanna","SMB 306 (40)","Computing, Electronics and Mathematics","40"
"SOFT152 (T) Practical 1/03","12","Tue","2018-10-16","16:00","Tue","2018-10-16","18:00","02:00","Haynes, Chris","BGB 209 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Practical 2/02","12","Wed","2018-10-17","09:00","Wed","2018-10-17","11:00","02:00","Wennekers, Thomas","BGB 208 (36)","Computing, Electronics and Mathematics","36"
"SOFT165 (T) Practical 3/02","12","Wed","2018-10-17","11:00","Wed","2018-10-17","13:00","02:00","Palomino, Marco","BGB 208 (36)","Computing, Electronics and Mathematics","30"
"SEC104 (T) JT Practical 1a/04","12","Thu","2018-10-18","09:00","Thu","2018-10-18","11:00","02:00","Giorgi, Ioanna","SMB 306 (40)","Computing, Electronics and Mathematics","40"
"SOFT152 (T) Practical 2/01","12","Thu","2018-10-18","09:00","Thu","2018-10-18","11:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/05","12","Thu","2018-10-18","13:00","Thu","2018-10-18","15:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/02","12","Thu","2018-10-18","15:00","Thu","2018-10-18","17:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 1/04","12","Thu","2018-10-18","16:00","Thu","2018-10-18","18:00","02:00","Haynes, Chris","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/04","12","Fri","2018-10-19","09:00","Fri","2018-10-19","11:00","02:00","Pecyna, Leszek","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SEC104 (T) JT Lecture 2a","12","Fri","2018-10-19","13:00","Fri","2018-10-19","15:00","02:00","Furnell, Steven","DYB Main Hall (212)","Computing, Electronics and Mathematics","212"
"SOFT152 (T) Practical 2/03","12","Fri","2018-10-19","15:00","Fri","2018-10-19","17:00","02:00","Pecyna, Leszek","BGB 209 (36)","Computing, Electronics and Mathematics","28"

"Week 13 (2018-10-22 - 2018-10-28)"
